Kategori,Seri,Model,Boyut,Ekran,Sınıf 1,"Sınıf 0,5",Hafıza,Demand,THD,Ayrı Harmonik,Dengesizlik,Sag&Swell,RS-485,Ethernet,Dijital Giriş,Dijital Çıkış,Analog Çıkış,Röle,Alarm,Çalışma Saati,Olay,IP54,X5/X1,plug&meter,X/333mV,4. Akım,OG,CT-25,Çift Enerji Sayacı,Pals Sayacı,Pulse Çıkışı,RTC,Sabit Akım Klemensi,AO 0/2-10V,AO 0/4-20mA,95-270 VAC/DC,12-50 VDC,50-270 VAC/DC,24-60 VDC,45-265 VAC/DC,110/230 VAC,10-56 VDC,85-265 VAC/DC
Şebeke Analizörleri,MPR-1,MPR-14S,DIN4 ray,Yok,Var,Yok,Yok,H,Yok,Yok,Yok,Yok,Var,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Var,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Var,Yok,Yok,Yok,Yok,Yok,Yok,Yok
Şebeke Analizörleri,MPR-1,MPR-14S-D,DIN4 ray,Yok,Var,Yok,Yok,H,Yok,Yok,Yok,Yok,Var,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Var,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Var,Yok,Yok,Yok,Yok,Yok,Yok
Şebeke Analizörleri,MPR-1,MPR-15S-22,DIN4 ray,Yok,Var,Yok,4MB,H,H,Yok,Yok,Yok,Var,Yok,2,2,Yok,Yok,Yok,Yok,Yok,Yok,Var,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Var,Yok,Yok,Yok,Yok,Yok,Yok,Yok
Şebeke Analizörleri,MPR-1,MPR-15S-22-D,DIN4 ray,Yok,Var,Yok,4MB,H,H,Yok,Yok,Yok,Var,Yok,2,2,Yok,Yok,Yok,Yok,Yok,Yok,Var,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Var,Yok,Yok,Yok,Yok,Yok,Yok
Şebeke Analizörleri,MPR-1,MPR-16S-21,DIN4 ray,Yok,Var,Yok,4MB,H,H,51,H,Yok,Var,Yok,2,Yok,Yok,1,Yok,Yok,Yok,Yok,Var,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Var,Yok,Yok,Yok,Yok,Yok,Yok,Yok
Şebeke Analizörleri,MPR-1,MPR-16S-21-D,DIN4 ray,Yok,Var,Yok,4MB,H,H,51,H,Yok,Var,Yok,2,Yok,Yok,1,Yok,Yok,Yok,Yok,Var,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Var,Yok,Yok,Yok,Yok,Yok,Yok
Şebeke Analizörleri,MPR-1,MPR-17S-23,DIN4 ray,Yok,Var,Yok,4MB,H,H,51,H,Yok,Var,Yok,2,1,2,Yok,Yok,Yok,Yok,Yok,Var,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Var,Yok,Yok,Yok,Yok,Yok,Yok,Yok
Şebeke Analizörleri,MPR-1,MPR-17S-23-D,DIN4 ray,Yok,Var,Yok,4MB,H,H,51,H,Yok,Var,Yok,2,2,1,Yok,Yok,Yok,Yok,Yok,Var,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Var,Yok,Yok,Yok,Yok,Yok,Yok
Şebeke Analizörleri,MPR-2,MPR-24,DIN4 ray,"2,1"" LCD",Var,Yok,Yok,Var,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Var,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Var,Yok,Yok,Yok,Yok,Yok,Yok,Yok
Şebeke Analizörleri,MPR-2,MPR-24-PM,DIN4 ray,"2,1"" LCD",Var,Yok,Yok,Var,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Var,Var,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Var,Yok,Yok,Yok,Yok,Yok,Yok,Yok
